nama_produk;harga;diskon;harga_diskon;terjual;kota
MINISO Sandal Pria dan Wanita Bath Slippers Sandal Karet Wanita EVA Solnya Empuk Super Anti Selip【Produk Cacat】;Rp59.900;60%;Rp23.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO BODY MIST / Garden of Eden Body Spray 150mL / PARFUM UNISEX BUNGA dan BUAH / PARFUM WANITA / PERFUME PRIA;;87%;Rp25.900 - Rp29.900;10RB+ Terjual;KOTA JAKARTA UTARA
Miniso Tas Selempang Wanita Semicircular Hardware Sling Bag Women Tas Cewek Kekinian Tas Selempang Gesper Logam Rantai Shoulder Bag Office;;52%;Rp62.000 - Rp69.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Sandal Wanita Terbaru Sendal Wanita Kekinian Dan Pria EVA Bathroom Slippers Modis Tidak Licin sandal jelly;Rp89.900;56%;Rp39.900;5,3RB Terjual;KOTA JAKARTA UTARA
MINISO Botol Minum We Bare Bears Tumbler Tempat Air Minum Sedotan Straw 550ml Gelas Water Bottle Tumblr Wadah Penyimpanan Anak Perempuan Laki Sekolah Travel Sport Olahraga Plastik Lucu Karakter Motif Kartun Premium Portable Ringan;Rp99.900;60%;Rp39.900;4RB Terjual;KOTA JAKARTA UTARA
MINISO Bantal Solid Color Bantal Leher U-shaped Neck Pillow Bantal Leher Bantal Kepala Travel Bantal Leher Travel Pillow Bantal Mobil Portable Pillow Bantal Portabel;Rp109.900;55%;Rp49.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Sandal Pria Sandal Wanita Sendal Bath Slippers Sandal Kamar Mandi Sandal Karet Pria Bahan EVA Solnya Empuk Super Anti Selip;;55%;Rp26.900 - Rp29.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Sendal Slop Sandal Wanita Rumah Slipper Sepatu Sendal Wanita Kekinian Selop Comfortable Nyaman Flip Flop Sandal Rumah Berkualitas EVA Sandal Kamar Mandi Berbahan Empuk Sandal Karet Couple Polos;Rp99.900;70%;Rp29.900;10RB+ Terjual;KOTA JAKARTA UTARA
MINISO Sendal Wanita Sandal Wanita Kekinian Women's Flip-Flops Sandal Jepit 【Produk Cacat】;Rp79.900;70%;Rp23.900;949 Terjual;KOTA JAKARTA UTARA
MINISO Body Mist 150ml fragrance spray tahan lama Natural Series Eau de body spray Parfum Parfum Vanilla Perfum Spray Pengharum Badan Unisex;;42%;Rp25.900 - Rp29.900;10RB+ Terjual;KOTA JAKARTA UTARA
